rank,address,quantity,allocation
80,0x0658f0e2c6e8f9072d94454c7eddbc44e2e36fe2,17,2
81,0x0750a5ec725dc965b6563b48369b01101a1dec28,17,2
82,0x189a8ec283d52174b4d8c18a760fbf4d4b1027bb,17,2
83,0x940cbc5e83c0fe093be1556431d69c20bee500ed,17,2
84,0xc90630dcd4d273395035626e0c8f91fab1797116,17,2
85,0xdb7d39f1533a8c6e74b10367b2fc6f87a28f3835,17,2
86,0x1eb1d20f40438dfffcc7b5a6795e11fff7f075a3,16,2
87,0xd8dccaee1374090d98278a23711a6e1ba7122078,16,2
88,0x981cbe42a14630bf834dcd6812b0030c2f0ff2e5,15,2
89,0x02bb8954a2b1e9701c17adb7298d32694a2763bc,14,2
90,0x075f7744e626e25fdd2da862bea5c44df3e7a55d,14,2
91,0x42d20226d1d3e66a7b671b654175824180773be8,14,2
92,0x7076b42575a986eab95b68b65ac29082b158473c,14,2
93,0xa50c61b63002e78c39ef7480555b6fe6e9eb3c4d,14,2
94,0x06f844e25622ee91589eea5fb6bf83a4071a33a1,13,2
95,0xc08a111f737c5ffc07a2558c554dfc4de5694ec0,13,2
96,0xda8bbc8b25ab8b5cb47e7c271400fe130fcc2ce7,13,2
97,0x20134c1447fda725e61891d22428e826f946502f,12,2
98,0x2f36812c11c9d58981db5ef84b23967576930932,12,2
99,0x69b538ea2d3ef295b4b9d8335efd5fac02ba716b,12,2
100,0x883c2784f8d8f9917791b621591b7c8796af8af6,12,2
