rank,address,quantity,allocation
91,0xaef6c58d6e2db1074a5f5f47721fe08f58a68061,4,2
92,0xb4078e1937bcf1f44d0c3dde11843e89466bab56,4,2
93,0xbb742d7e53115edf30a168b7cab2badb0d8c77a6,4,2
94,0xc992c764a5dd14dd5bd6f662a14377e1cf7e31df,4,2
95,0xd06015fd39ccc0f3c65ff2987ef98013abf5e9fe,4,2
96,0xe88ee667c5a8da4ca1a09a9fa6db8c85d3b89133,4,2
97,0xf90c9920b2564d31ea7648eecf80f8c3f4debec8,4,2
98,0x019b581ce7cf1007d4f84eb783a19652803f339c,3,2
99,0x0d5da38c9ec77c50c1aad5e58341338882299e82,3,2
100,0x2fdc93722c9a86fdfb4d945caf059f39cb9622be,3,2
