rank,address,quantity,allocation
80,0x565e986f461e080ba251f0421eeaf7bf1499fb69,12,2
81,0xa61fe601d74f57c9ae2cbc550a6faf98fca59a0c,12,2
82,0xa737e7ac5bc6f2c3900fd88bd79f8d0ec9e8fc1a,12,2
83,0xbb936667614622928c548c40d885d9710ce73a21,12,2
84,0xf6ace56abecbc8d9af8c9356fb492f78fb0b2c86,12,2
85,0xfa149083009d0425d9186faae5693fae1932b286,12,2
86,0x139473926a791cb4979f7c43d1b0ef0e06924a91,11,2
87,0x15001a844836bfccdef9f0fe326481c29052f8ec,11,2
88,0x3b162480ea8eed3d840c3f416970ee63009ed01e,11,2
89,0x458f55950c4bcd5a428c40b125159f8456ac03a4,11,2
90,0x4852a8c4aafb9bb657d39204ab5c4d39cadf453b,11,2
91,0x95cf9511bf739cbd2935f6b35515d9e11c9c5434,11,2
92,0x9b9cc63626692b73b65b315cb586a7b543d3391f,11,2
93,0x9bb063a541435f6a2de0e6d325319cb1428c677c,11,2
94,0xa5e143020d1dab0c7842ff8c20c28a27510f6ac3,11,2
95,0xb1fe8d7274efcad6571f11465709a7df0521b2a9,11,2
96,0xc17d3f650db31c541e888c42c9457635cfd3f980,11,2
97,0xc543b04a6c36ab76728bb1aa43b80e39e4742952,11,2
98,0xe29d9701669254105f0608f5c273b5a2c8425c8d,11,2
99,0x194a71dcf3da80a543d1f2e59487f5cbe4e50036,10,2
100,0x2162d53ca6de99bed197a0b58046891b3a7bc287,10,2
